"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-07-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 남동구 만수동","1115-1","1115","0001","포레시안","46.8900","202507","30","26,900","-","14","개인","개인","2011","만수서로 55","-","중개거래","인천 남동구","-"
"2","인천광역시 미추홀구 주안동","1678","1678","0000","힐스테이트푸르지오주안","59.9800","202507","30","47,000","-","18","개인","개인","2023","남주길 150","-","중개거래","인천 미추홀구","-"
"3","인천광역시 남동구 구월동","1554","1554","0000","구월아시아드선수촌8단지","74.9400","202507","30","43,900","-","6","개인","개인","2015","선수촌로 8","-","중개거래","인천 남동구","-"
"4","인천광역시 부평구 갈산동","361-3","0361","0003","대동2","45.0000","202507","30","19,700","-","7","개인","법인","1993","주부토로 201","-","중개거래","인천 부평구","-"
"5","인천광역시 서구 원당동","1014","1014","0000","검단신도시예미지트리플에듀","84.5075","202507","30","60,000","-","3","개인","개인","2022","서로4로 89","-","중개거래","인천 서구","-"
"6","인천광역시 서구 왕길동","633-2","0633","0002","동남디아망","84.9651","202507","30","29,900","-","10","개인","개인","2006","봉수대로1440번길 19","-","중개거래","인천 서구","-"
"7","인천광역시 서구 가정동","597-2","0597","0002","엘에이치웨스턴블루힐","84.9900","202507","30","47,500","-","13","개인","개인","2015","봉오재2로 37","-","중개거래","인천 연수구","-"
"8","인천광역시 서구 가좌동","207-1","0207","0001","영남","55.2600","202507","30","13,900","-","4","개인","개인","1985","건지로334번길 50","-","중개거래","인천 서구","-"
"9","인천광역시 서구 검암동","535-1","0535","0001","신명스카이뷰2","84.9660","202507","30","36,000","-","15","개인","개인","2003","검암로10번길 54","-","중개거래","인천 서구","-"
"10","인천광역시 계양구 효성동","225-1","0225","0001","풍림","59.9900","202507","29","26,000","-","3","개인","개인","1997","아나지로213번길 22","-","직거래","-","-"
