Name,Year,T,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,IsoP,Spd,BABIP,UBR,wSB,wRC,wRAA,wOBA,ev,wRC+
Hirokazu Ibata,2005,CND,659,,,0.94,,,,,0.089,,,,,,,,,71
Michihiro Ogasawara,2005,NHF,580,,,0.54,,,,,0.276,,,,,,,,,125
Tony Batista,2005,FSH,591,,,0.20,,,,,0.2,,,,,,,,,137
Yuji Yoshioka,2005,RAK,427,,,0.45,,,,,0.137,,,,,,,,,110
Matt Franco,2005,LOT,520,,,0.58,,,,,0.196,,,,,,,,,176
Hiroki Kokubo,2005,YOM,592,,,0.54,,,,,0.242,,,,,,,,,66
Julio Zuleta,2005,FSH,526,,,0.37,,,,,0.328,,,,,,,,,107
Jose Fernandez,2005,SEI,473,,,0.51,,,,,0.252,,,,,,,,,66
Takuro Ishii,2005,YB,688,,,0.79,,,,,0.082,,,,,,,,,105
Koichi Ogata,2005,HIR,490,,,0.71,,,,,0.206,,,,,,,,,134
Cliff Brumbaugh,2005,ORI,499,,,0.45,,,,,0.172,,,,,,,,,100
Kazuyoshi Tatsunami,2005,CND,580,,,0.89,,,,,0.108,,,,,,,,,93
Akihiro Yano,2005,HST,550,,,0.28,,,,,0.166,,,,,,,,,107
Hitoshi Tamura,2005,YB,499,,,0.40,,,,,0.273,,,,,,,,,110
Seung-Yeop Lee,2005,LOT,445,,,0.42,,,,,0.292,,,,,,,,,98
Shinnosuke Abe,2005,YOM,534,,,0.65,,,,,0.197,,,,,,,,,110
Katsuhiko Miyaji,2005,FSH,451,,,0.67,,,,,0.081,,,,,,,,,84
Kazuhiro Wada,2005,SEI,542,,,0.91,,,,,0.251,,,,,,,,,78
Shigenobu Shima,2005,HIR,625,,,0.47,,,,,0.186,,,,,,,,,144
Tatsuhiko Kinjo,2005,YB,642,,,0.51,,,,,0.115,,,,,,,,,111
Hirotoshi Kitagawa,2005,ORI,487,,,0.56,,,,,0.176,,,,,,,,,87
Kosuke Fukudome,2005,CND,612,,,0.73,,,,,0.262,,,,,,,,,157
Andy Sheets,2005,HST,614,,,0.32,,,,,0.173,,,,,,,,,90
Hitoshi Taneda,2005,YB,606,,,0.97,,,,,0.1,,,,,,,,,92
Toshiaki Imae,2005,LOT,509,,,0.35,,,,,0.141,,,,,,,,,109
Takayuki Shimizu,2005,YOM,531,,,0.73,,,,,0.153,,,,,,,,,99
Tsuyoshi Nishioka,2005,LOT,493,,,0.61,,,,,0.125,,,,,,,,,188
Kenji Jojima,2005,FSH,463,,,1.03,,,,,0.248,,,,,,,,,121
Shogo Akada,2005,SEI,478,,,0.32,,,,,0.08,,,,,,,,,101
Takahiro Arai,2005,HIR,587,,,0.29,,,,,0.298,,,,,,,,,95
Akinori Iwamura,2005,YAK,618,,,0.43,,,,,0.235,,,,,,,,,101
Keiichi Hirano,2005,ORI,457,,,0.52,,,,,0.055,,,,,,,,,112
Masahiro Araki,2005,CND,674,,,0.49,,,,,0.055,,,,,,,,,138
