Name,Year,T,IP,K%,BB%,K-BB%,HR%,AVG,WHIP,DER,LOB%,RA-,FIP-,xFIP-,RA,FIP,R-F,xFIP,tRA,FAv,ERA
Shinobu Fukuhara,2005,,171.7,,,0.11,,,,,,,,,,4.46,,,,,3.51
Yoshihiro Doi,2005,,164.7,,,0.113,,,,,,,,,,5.30,,,,,3.83
Toshiya Sugiuchi,2005,,196.7,,,0.229,,,,,,,,,,2.78,,,,,2.11
Hisashi Iwakuma,2005,,182.3,,,0.106,,,,,,,,,,4.12,,,,,4.99
Kenshin Kawakami,2005,,180.3,,,0.149,,,,,,,,,,3.87,,,,,3.74
Daisuke Matsuzaka,2005,,215,,,0.204,,,,,,,,,,2.95,,,,,2.30
Satoru Kanemura,2005,,174,,,0.058,,,,,,,,,,4.86,,,,,3.62
Hiroyuki Kobayashi,2005,,160.7,,,0.152,,,,,,,,,,3.58,,,,,3.30
Koji Uehara,2005,,187.3,,,0.165,,,,,,,,,,3.97,,,,,3.31
Hiroki Kuroda,2005,,212.7,,,0.144,,,,,,,,,,3.64,,,,,3.17
Shohei Tateyama,2005,,150.3,,,0.124,,,,,,,,,,3.86,,,,,3.95
Kei Igawa,2005,,172.3,,,0.113,,,,,,,,,,4.58,,,,,3.86
Ken Kadokura,2005,,197.7,,,0.121,,,,,,,,,,4.19,,,,,3.37
Nagisa Arakaki,2005,,136.7,,,0.127,,,,,,,,,,4.13,,,,,4.61
Kazuyuki Hoashi,2005,,158.7,,,0.133,,,,,,,,,,3.69,,,,,4.03
Jeremy Powell,2005,,200,,,0.125,,,,,,,,,,4.12,,,,,3.51
Shunsuke Watanabe,2005,,187,,,0.102,,,,,,,,,,3.85,,,,,2.17
Dan Serafini,2005,,151.3,,,0.097,,,,,,,,,,4.10,,,,,2.91
Hisanori Takahashi,2005,,163,,,0.125,,,,,,,,,,4.21,,,,,4.47
Yuya Ando,2005,,146,,,0.159,,,,,,,,,,3.86,,,,,3.39
Masanori Ishikawa,2005,,149.7,,,0.127,,,,,,,,,,4.17,,,,,4.87
Tsuyoshi Wada,2005,,181.7,,,0.148,,,,,,,,,,3.67,,,,,3.27
Daisuke Miura,2005,,214.7,,,0.146,,,,,,,,,,3.82,,,,,2.52
Kazumi Saito,2005,,157,,,0.138,,,,,,,,,,3.95,,,,,2.92
Fumiya Nishiguchi,2005,,172,,,0.147,,,,,,,,,,3.59,,,,,2.77
Yusaku Iriki,2005,,150.7,,,0.087,,,,,,,,,,4.62,,,,,3.35
Naoyuki Shimizu,2005,,164.3,,,0.09,,,,,,,,,,5.16,,,,,3.83
Kan Otake,2005,,161.7,,,0.101,,,,,,,,,,4.97,,,,,5.62
Shugo Fujii,2005,,176,,,0.107,,,,,,,,,,4.76,,,,,3.43
Jeremy Powell,2006,,187.3,,,0.128,,,,,,,,,,3.33,,,,,3.31
Kazuhisa Ishii,2006,,177.7,,,0.144,,,,,,,,,,3.71,,,,,3.44
Shingo Ono,2006,,145.7,,,0.055,,,,,,,,,,4.25,,,,,2.66
Yasuhiro Ichiba,2006,,193.7,,,0.094,,,,,,,,,,4.36,,,,,4.37
Shinji Sasaoka,2006,,149.7,,,0.086,,,,,,,,,,5.07,,,,,4.09
Tsuyoshi Shimoyanagi,2006,,150.3,,,0.048,,,,,,,,,,4.54,,,,,3.17
Fumiya Nishiguchi,2006,,177.3,,,0.116,,,,,,,,,,4.39,,,,,3.55
Tsuyoshi Wada,2006,,163.3,,,0.143,,,,,,,,,,3.86,,,,,2.98
Tom Davey,2006,,165,,,0.035,,,,,,,,,,4.20,,,,,2.62
Tomoya Yagi,2006,,170.7,,,0.083,,,,,,,,,,3.85,,,,,2.48
Masahiro Yamamoto,2006,,170.7,,,0.128,,,,,,,,,,3.52,,,,,3.32
Tetsuya Utsumi,2006,,194,,,0.16,,,,,,,,,,3.34,,,,,2.78
Rick Guttormson,2006,,173.7,,,0.128,,,,,,,,,,3.38,,,,,2.85
Yasutomo Kubo,2006,,140.3,,,0.144,,,,,,,,,,3.47,,,,,4.55
Ken Kadokura,2006,,154.3,,,0.091,,,,,,,,,,4.57,,,,,4.84
Naoyuki Shimizu,2006,,171,,,0.141,,,,,,,,,,3.11,,,,,3.42
Hiroki Yamamura,2006,,136.3,,,0.018,,,,,,,,,,5.43,,,,,5.35
Kan Otake,2006,,157,,,0.082,,,,,,,,,,5.15,,,,,4.93
Shinobu Fukuhara,2006,,154.7,,,0.121,,,,,,,,,,3.51,,,,,2.09
Daisuke Matsuzaka,2006,,186.3,,,0.23,,,,,,,,,,2.65,,,,,2.13
Hidetaka Kawagoe,2006,,163.3,,,0.067,,,,,,,,,,4.16,,,,,3.14
Nagisa Arakaki,2006,,155.3,,,0.164,,,,,,,,,,3.22,,,,,3.01
Kenta Asakura,2006,,154.7,,,0.116,,,,,,,,,,3.73,,,,,2.79
Koji Uehara,2006,,168.3,,,0.193,,,,,,,,,,3.85,,,,,3.21
Masanori Ishikawa,2006,,151,,,0.099,,,,,,,,,,3.76,,,,,4.53
Shunsuke Watanabe,2006,,147,,,0.11,,,,,,,,,,3.88,,,,,4.35
Daisuke Miura,2006,,216.7,,,0.127,,,,,,,,,,3.71,,,,,3.45
Hiroyuki Kobayashi,2006,,142.7,,,0.161,,,,,,,,,,3.51,,,,,2.78
Hideaki Wakui,2006,,178,,,0.113,,,,,,,,,,3.98,,,,,3.24
Hiroki Kuroda,2006,,189.3,,,0.165,,,,,,,,,,3.12,,,,,1.85
Kei Igawa,2006,,209,,,0.172,,,,,,,,,,3.39,,,,,2.97
Yoshihisa Hirano,2006,,172.3,,,0.09,,,,,,,,,,3.73,,,,,3.81
Yu Darvish,2006,,149.7,,,0.081,,,,,,,,,,4.25,,,,,2.89
Kazumi Saito,2006,,201,,,0.201,,,,,,,,,,2.66,,,,,1.75
Kenshin Kawakami,2006,,215,,,0.184,,,,,,,,,,3.57,,,,,2.51
Hayato Terahara,2007,,184.7,,,0.154,,,,,,,,,,3.83,,,,,3.36
Hiroyuki Kobayashi,2007,,170.7,,,0.179,,,,,,,,,,2.85,,,,,2.69
